B_1_con	B_2_con	B_4_con	C_1_tre	C_2_tre	C_3_tre	Rywal-mock2	Rywal-mock3	Rywal-mock4	Rywal-wilga_2	Rywal-wilga_3	Rywal-wilga_5
B_1_con	0	0.0971841423980485	0.0931596198678295	0.216907090391547	0.156632894188685	0.14133264870874	0.347716926476573	0.340265773814948	0.374529255115818	0.427573335680179	0.439063057417351	0.42701314576533
B_2_con	0.0971841423980485	0	0.118988009931931	0.22543233497291	0.171419976544109	0.158737825759568	0.372228014537808	0.348021140133476	0.384170772865047	0.426414752105278	0.426834371591085	0.410326074509525
B_4_con	0.0931596198678295	0.118988009931931	0	0.234317367956927	0.187547053750575	0.141961062965812	0.342994801961581	0.326239382923274	0.363184053966616	0.428441106409876	0.438307132276644	0.420203511661936
C_1_tre	0.216907090391547	0.22543233497291	0.234317367956927	0	0.211048615571954	0.182732671060443	0.42282964934619	0.427275513117848	0.460413659421707	0.467580652391651	0.460752775003769	0.459392336210327
C_2_tre	0.156632894188685	0.171419976544109	0.187547053750575	0.211048615571954	0	0.161996298508233	0.343125145226186	0.346669400181385	0.391296979879498	0.415598613797616	0.43402923443679	0.426101314464703
C_3_tre	0.14133264870874	0.158737825759568	0.141961062965812	0.182732671060443	0.161996298508233	0	0.371073717194315	0.369051948785473	0.410915922185091	0.420847654207545	0.432367164086279	0.421983216645735
Rywal-mock2	0.347716926476573	0.372228014537808	0.342994801961581	0.42282964934619	0.343125145226186	0.371073717194315	0	0.136414259619057	0.146540982693338	0.439915273464315	0.469415633310188	0.459422458690837
Rywal-mock3	0.340265773814948	0.348021140133476	0.326239382923274	0.427275513117848	0.346669400181385	0.369051948785473	0.136414259619057	0	0.128243453714583	0.400322357031623	0.423246729987381	0.401281314186678
Rywal-mock4	0.374529255115818	0.384170772865047	0.363184053966616	0.460413659421707	0.391296979879498	0.410915922185091	0.146540982693338	0.128243453714583	0	0.47936575196134	0.499311167952064	0.478602311453867
Rywal-wilga_2	0.427573335680179	0.426414752105278	0.428441106409876	0.467580652391651	0.415598613797616	0.420847654207545	0.439915273464315	0.400322357031623	0.47936575196134	0	0.193365377548218	0.141262254776009
Rywal-wilga_3	0.439063057417351	0.426834371591085	0.438307132276644	0.460752775003769	0.43402923443679	0.432367164086279	0.469415633310188	0.423246729987381	0.499311167952064	0.193365377548218	0	0.137151133219363
Rywal-wilga_5	0.42701314576533	0.410326074509525	0.420203511661936	0.459392336210327	0.426101314464703	0.421983216645735	0.459422458690837	0.401281314186678	0.478602311453867	0.141262254776009	0.137151133219363	0
