,0
0,EX_fe2_b
1,PC1829Z12Z1627Z10ZDS
2,PHYTOES
3,PUNP6
4,FUMAC
5,18OXOOLEATES
6,3DIMSNIODPALDH
7,PHYTK2
8,DIELH
9,GA34OX
10,BTNS
11,PROD2m
12,3OMQUERCETINMT
13,PUNP2
14,IPENTAOX
15,MCITL2
16,34DHOXMANDS
17,NICOTINED
18,OXOCNNMCOAS
19,OXOCNNMCOAT
20,BZALCAT
21,DGDG1819Z160ZDS
22,GERMACRENEDS2
23,24MDESMOSTEROLR
24,2DPREN3M6ME14BLH
25,GA12OX
26,IALLIINL
27,DHAOX_m
28,DAAD
29,CISZEATINOX
30,CKININXT
31,S9METHNONHXIMOYLCYSS
32,CONIALDHGT
33,PRUNINRT
34,GA9OX2
35,CBL2
36,SERPT
37,2H3C45CPHEX5ENOATES
38,MTRK
39,SINAPATES
40,TOCOPHOM2
41,BZALCBT
42,PC1839Z12Z15Z1819ZDS
43,TOCOPHOM1
44,DELPHINIDIN3OGIDEGMT
45,23DIMMALL
46,LARICIRESINOLR
47,SITOSTEROLDS
48,LYCOPC
49,DHKALAFUNGINS
50,ITRANSZEATINRBDIPS
51,TPS2
52,DAIDZEIN2H
53,2DP6MOBLMT
54,ADSK
55,DADA
56,SHCHCS3
57,HP5CD
58,MI1346PK
59,SHSL2
60,SAM24MT
61,CAPSICONIATES
62,6OMEMYCOLTRE6PP
63,SMOX
64,ABSCAH
65,PHYCBOXL
66,CYANIDIN3IOBDGIDEGT
67,cit_pumped_H_tx_v_
68,PSUDS
69,MI12346PK
70,PPTT
71,TYRCBOX
72,MGDG1839Z12Z15Z1627Z10ZDS
73,GA30OX
74,SUCSALR
75,H2CO3D
76,2OH3K5MPPISO
77,BCDO
78,N6DIMALLA5PS
79,PC1819Z1613EDS
80,CANAVANINOSUCCL
81,CYANIDIN5OGIDEGT
82,COTININED2
83,ETHEROLEATES
84,FACOAL80
85,6G6KESTOTOSEH
86,MCDC
87,GHBDHy
88,GRTT
89,IND3ACGLUS
90,3HLYTCL
91,APRAUR
92,H4THDPR
93,2DOXG6PP
94,BILIRED2
95,6OMYCOLTRE6PP
96,3RLINALOOLS
97,7ODGYLAPIGENINAT
98,PPPG9tm
99,IMENTHONEDH
100,OD2COAR
101,CKININOX
102,HC00718CT
103,SCHEILANTHIFOLINES
104,ACGAMPM
105,ARD_1
106,DGDG183182DS
107,SFARNESYLCYSL
108,DHPS2m
109,KAEMPFEROL3OGALIDET
110,GP4GASE
111,N4ACGASNASE
112,DHNAOT4
113,OL3BGLC31GAL28GIDES
114,DTMPK
115,GTHS_1
116,S7METHHEPTHXIMOYLCYSS
117,IND3YLACMIS
118,3CLBZALD
119,GTPCI
120,ENT7AHKAURENOATEMO
121,GALS3
122,NMT
123,1PROPENYLSULFENATEI
124,PMGDS
125,CINNM2H
126,PC1829Z12Z1627Z10ZDS2
127,RVICIANINH
128,GLUCT
129,MPBQ
130,AGMIS
131,3HBCS
132,PG1829Z12Z160DS
133,CDPGLYCPP
134,ACTINORHODININTS
135,ICHORT
136,VNDH_3ox
137,GA34OX2
138,DTPCUDCPPS
139,PELARGONIDIN3ORUTINOSIDEGT
140,FORA
141,OCTADECENEDIOATES
142,SLCBK2
143,ACGAMT2
144,ALCD22xi
145,FLAVS
146,MGDG1829Z12Z1839Z12Z15ZDS
147,ICHORS
148,2DHLUBIMINS
149,OL3BGLCIDE31GALIDE28GIDES
150,ALIPDS
151,UAGCVT
152,LATHOSTEROLDS2
153,UPP3MT2
154,18CINEOLES
155,MBDST
156,FALTKT
157,IBAZZANENES
158,SDH
159,FLAS
160,GALOX
161,2HPSEUDOBAPTIGENINRD
162,OLEANOLATEUGT
163,6DEOXOCATHASTERONEH
164,PURINEH
165,TROPINEAT
166,STARCH300SC
167,GLUFIMT
168,DC6PH
169,HPALOX
170,P3SS
171,POLYAO2
172,HGPHT
173,CATECHOLOX
174,DELP_GLCT
175,DHCHELIRUBINEH
176,glutacoa_coa_tx_x_
177,34HPPOR
178,LLOX13
179,CYSDDS
180,THRA2
181,DESACETOXYVINDINE4H
182,GALM2
183,HISPYRAT
184,GALKr
185,T2HEXENOLDH
186,UAGPT3
187,BAMPPALDOX2
188,ILEMO
189,DOPASULT
190,BDH
191,DELPHINIDIN35DGLCHCT
192,ARGSUCL
193,A44OX
194,PYDXNK
195,UAGDP
196,DHMACARPINEOX
197,NOSm
198,LINAMARING
199,SELNPS_cho
200,DHKAEMPFEROL35H2
201,X5PL3E
202,GA17OX
203,GERANIALS
204,PYDXOR
205,NICOTIAS
206,N4N12M13N12M16M14N14NXT
207,ALOX8
208,HYOSCYAMINE6H
209,COTININEGT
210,GCATENEC
211,JMT
212,MGDG1829Z12Z1617ZDS2
213,MENDH
214,DIENELACTONEH
215,HBZOPT
216,34HPPPC
217,AIPT
218,PHEOASE
219,A3OAT
220,GA12ALOX
221,UAMAGS
222,CYANIDINGT
223,DADPKh
224,DMTPHT
225,AGMDA
226,DOPAMT
227,ECOAH9m
228,SALUTARIDINOLAT
229,UDPDPS
230,ALLTRANSTDPRENDPS
231,DHKAEMPFEROL35H
232,FTHFLmi
233,LACZ2
234,PRGSTRNDH
235,34DHALDD
236,CATECHOLMT
237,AGMCT
238,DELPHINIDIN3OGYL5OCAFFEOYLGIDEGT
239,PHYTCOADOX
240,DGDG1829Z12Z1829Z12ZDS2
241,IFUCOSTEROLR
242,HOMOMETOX
243,MDNITMO
244,HACONT2
245,nh4_tx_v_
246,PADOX
247,STERCULATES
248,urea_tx_v_
249,CMPA_1
250,MCTC
251,17ODEACVINDINEAT
252,NADK_h
253,GRGRBACTERIOPHEOPHYTINRD
254,MGDG1819Z1619ZDS2
255,ABSCISATEGT
256,PPYRDC
257,7ODGYLAPIGENINRT
258,CBMD
259,AMMQLT8
260,3HEXLS
261,PELARGONIDINGT
262,PULR
263,SARCOX
264,CRINOSTEROLS
265,LDH_L
266,HMGTHDH
267,DMPPPT
268,ITRANSZEATINRBMPS
269,CISZEATINGT
270,COUCOAR2
271,IENTKAUR16ENEOX
272,ITRANSZEATINRBMPH
273,IFUCOSTEROL22H
274,2HEX3MH6ME14BLMT
275,PAPS_tx_h_
276,GALUR1PPP
277,RBFK
278,GA13OX
279,TMPPP
280,ASCBPOX_m
281,FCLT
282,DHDASCBSPONTm
283,DMPPIPT
284,PRECORRIN1MT
285,MGDG1839Z12Z15Z1617ZDS
286,DHCONIFERYLALCGT
287,43AC5H4OXO14DHNPTHL2YL3HBUTS
288,I7OMT
289,I3AS
290,TRAUMATINS
291,BMENECPPYRAT
292,NADHP
293,HC00955S
294,DOPABMO
295,MACACI
296,2PROPENYLGLATES
297,ABARS
298,APIGENINGT
299,7ODGYLAPIGENINMT
300,FACOAL1821
301,34DHBALDMT
302,4ABZ_tx_m_
303,BAMYRINS
304,NICRNS
305,HC00955N
306,TYMT
307,LUTEOLINS
308,MALSHININMT
309,3SLINALOOLS
310,SPODM
311,HC00955H
312,MI145PP
313,ATPASE
314,HMR_4756
315,UAMAGDAL
316,ALATA_D2
317,PTPATi
318,LPADSS
319,SHCHF_2
320,S5METHPENTHXIMOYLCYSS
321,AOXSr
322,UDPGDH
323,NPDPS2
324,PSORALEN5MO
325,BBISABOLENES
326,SUCBZS
327,DTPCNONDPS
328,DVR
329,CHSTEROLRD
330,2OXOPENTA34DIENOATES
331,N6DIMALLA5PPH
332,4PPANS
