,values
M00957[c],M00957_c
ppp9[h],ppp9_h
m14bq[c],m14bq_c
3hmp[m],3hmp_m
ga37[c],ga37_c
glu_D[c],glu_D_c
ergst[c],ergst_c
orn[m],orn_m
tym[c],tym_c
2cltransdienelactone[c],2cltransdienelactone_c
ppp9[m],ppp9_m
orn[h],orn_h
ind3yacg[c],ind3yacg_c
iformnetin[c],iformnetin_c
3dhq[h],3dhq_h
q8h2[c],q8h2_c
hisp[h],hisp_h
HC02110[c],HC02110_c
5aprbu[c],5aprbu_c
stctosidine[c],stctosidine_c
canavanine[c],canavanine_c
octa[c],octa_c
orn[c],orn_c
34dhphe[c],34dhphe_c
ppp9[c],ppp9_c
kaempferol[c],kaempferol_c
laricitn[c],laricitn_c
pelargonidin35dgide[c],pelargonidin35dgide_c
bchamigrene[c],bchamigrene_c
sucorn[c],sucorn_c
meugenol[c],meugenol_c
3h15dhlubimin[c],3h15dhlubimin_c
ga15[c],ga15_c
mi1345p[c],mi1345p_c
kdo8p[c],kdo8p_c
shcl[c],shcl_c
fmnh2[c],fmnh2_c
prostgi2[c],prostgi2_c
mgdg1829Z12Z160[c],mgdg1829Z12Z160_c
NNdmani[c],NNdmani_c
pendp[c],pendp_c
kdolipid4[c],kdolipid4_c
mi14p[c],mi14p_c
nflgln[c],nflgln_c
delphinidin35dgide[c],delphinidin35dgide_c
35cgmp[c],35cgmp_c
3c3hmp[h],3c3hmp_h
sepiapterin[c],sepiapterin_c
ac[x],ac_x
5deoxydhkalafungin[c],5deoxydhkalafungin_c
cdpNdimetohamine[c],cdpNdimetohamine_c
me3dhnpdh[c],me3dhnpdh_c
bzbz[c],bzbz_c
appnn[c],appnn_c
ac[m],ac_m
dhepstrl[c],dhepstrl_c
gthox[c],gthox_c
acorn[c],acorn_c
tdp[h],tdp_h
nlariciresinol[c],nlariciresinol_c
mgdg1819Z1637Z10Z13Z[c],mgdg1819Z1637Z10Z13Z_c
gthox[h],gthox_h
mmcoa__S[c],mmcoa__S_c
10hgeranial[c],10hgeranial_c
1deoxy1iminoe4p[c],1deoxy1iminoe4p_c
pc1839Z12Z15Z1637Z10Z13Z[c],pc1839Z12Z15Z1637Z10Z13Z_c
10fthf[c],10fthf_c
10fthf[h],10fthf_h
ind3ylacmiarab[c],ind3ylacmiarab_c
air[h],air_h
hypoglycinA[c],hypoglycinA_c
bxanthin[c],bxanthin_c
10fthf[m],10fthf_m
ga46[c],ga46_c
norajmaline[c],norajmaline_c
malthx[h],malthx_h
ga4[c],ga4_c
delphinidin[c],delphinidin_c
dtdpglu[c],dtdpglu_c
5mdr1p[c],5mdr1p_c
udcpdp[c],udcpdp_c
mg2[c],mg2_c
pelargonidin3Osophoroside[c],pelargonidin3Osophoroside_c
sinapoylSmal[c],sinapoylSmal_c
mg2[h],mg2_h
ethamp[c],ethamp_c
amet[c],amet_c
campest4en3one[c],campest4en3one_c
precorrin1[c],precorrin1_c
3hexpren4h5mebz[c],3hexpren4h5mebz_c
ichor[c],ichor_c
naringenin[c],naringenin_c
amet[h],amet_h
air[c],air_c
C11821[x],C11821_x
gua[c],gua_c
4mzym_int1[c],4mzym_int1_c
acorn[h],acorn_h
gthox[m],gthox_m
3dphb[c],3dphb_c
allalc[c],allalc_c
4prenphloributophnn[c],4prenphloributophnn_c
abscisate[c],abscisate_c
gthox[x],gthox_x
ga24[c],ga24_c
6dg[c],6dg_c
